Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,FULL_conservation,FULL_blosum,FULL_gaps
PF15136,1.00,,0.00,1.00,,0.00
PF15138,1.00,,0.00,1.00,,0.00
PF15141,1.00,,0.00,1.00,,0.00
PF15142,1.00,,0.00,1.00,,0.00
PF15143,0.59,3.68,0.38,0.59,3.68,0.38
PF15144,1.00,,0.00,1.00,,0.00
PF15145,1.00,,0.00,1.00,,0.00
PF15146,1.00,,0.00,1.00,,0.00
PF15147,1.00,,0.00,1.00,,0.00
PF15148,1.00,,0.00,1.00,,0.00
PF15149,1.00,,0.00,1.00,,0.00
PF15150,1.00,,0.00,1.00,,0.00
PF15151,1.00,,0.00,1.00,,0.00
PF15152,1.00,,0.00,1.00,,0.00
PF15153,1.00,,0.00,1.00,,0.00
PF15155,0.94,4.33,0.00,0.94,4.33,0.00
PF15156,1.00,,0.00,1.00,,0.00
PF15157,1.00,5.12,0.00,0.81,3.93,0.12
PF15159,1.00,,0.00,1.00,,0.00
PF15160,1.00,,0.00,1.00,,0.00
PF15162,1.00,,0.00,1.00,,0.00
PF15163,1.00,,0.00,1.00,,0.00
PF15164,1.00,,0.00,1.00,,0.00
PF15165,1.00,,0.00,1.00,,0.00
PF15167,1.00,,0.00,1.00,,0.00
PF15168,1.00,,0.00,1.00,,0.00
PF15169,1.00,,0.00,1.00,,0.00
PF15170,0.82,3.5,0.01,0.82,3.5,0.01
PF15171,1.00,,0.00,1.00,,0.00
PF15172,1.00,,0.00,1.00,,0.00
PF15173,0.64,0.96,0.01,0.64,0.96,0.01
PF15174,1.00,,0.00,1.00,,0.00
PF15175,1.00,,0.00,1.00,,0.00
PF15176,1.00,,0.00,1.00,,0.00
PF15177,0.76,2.7,0.02,0.76,2.7,0.02
PF15179,1.00,,0.00,1.00,,0.00
PF15180,0.66,1.42,0.12,0.66,1.38,0.11
PF15182,1.00,,0.00,1.00,,0.00
PF15183,0.67,1.76,0.03,0.67,1.78,0.03
PF15184,1.00,,0.00,1.00,,0.00
PF15185,1.00,,0.00,1.00,,0.00
PF15186,0.68,2.67,0.03,0.68,2.67,0.03
PF15187,1.00,,0.00,1.00,,0.00
PF15188,1.00,,0.00,1.00,,0.00
PF15189,1.00,,0.00,1.00,,0.00
PF15191,1.00,,0.00,1.00,,0.00
PF15192,1.00,,0.00,1.00,,0.00
PF15193,0.87,3.83,0.00,0.89,4.29,0.00
PF15194,0.93,5.06,0.07,1.00,5.06,0.00
PF15195,1.00,,0.00,1.00,,0.00
PF15196,1.00,,0.00,1.00,,0.00
PF15198,1.00,,0.00,1.00,,0.00
PF15199,1.00,,0.00,1.00,,0.00
PF15200,1.00,,0.00,1.00,,0.00
PF15201,1.00,,0.00,1.00,,0.00
PF15202,1.00,,0.00,1.00,,0.00
PF15203,1.00,,0.00,1.00,,0.00
PF15204,1.00,,0.00,1.00,,0.00
PF15205,1.00,,0.00,1.00,,0.00
PF15206,0.93,4.56,0.00,0.93,4.56,0.00
PF15207,1.00,,0.00,1.00,,0.00
PF15208,1.00,,0.00,1.00,,0.00
PF15209,1.00,,0.00,1.00,,0.00
PF15210,1.00,,0.00,1.00,,0.00
PF15211,1.00,,0.00,1.00,,0.00
PF15212,1.00,,0.00,0.52,2.64,0.45
PF15213,1.00,,0.00,1.00,,0.00
PF15214,1.00,,0.00,1.00,,0.00
PF15215,1.00,,0.00,1.00,,0.00
PF15216,1.00,,0.00,1.00,,0.00
PF15218,1.00,,0.00,1.00,,0.00
PF15219,1.00,,0.00,1.00,,0.00
PF15220,1.00,,0.00,1.00,,0.00
PF15221,1.00,,0.00,1.00,,0.00
PF15223,0.54,2.97,0.42,0.54,2.76,0.42
PF15224,1.00,,0.00,1.00,,0.00
PF15225,1.00,,0.00,1.00,,0.00
PF15226,1.00,,0.00,1.00,,0.00
PF15227,0.54,2.7,0.03,0.54,2.7,0.03
PF15228,0.67,1.53,0.05,0.67,1.53,0.05
PF15229,0.43,2.12,0.32,0.43,1.95,0.29
PF15230,0.72,3.0,0.14,0.72,2.69,0.11
PF15231,0.97,4.95,0.01,0.63,4.45,0.33
PF15232,0.60,2.06,0.07,0.61,1.93,0.05
PF15233,0.67,3.54,0.24,0.52,3.51,0.39
PF15234,1.00,,0.00,1.00,,0.00
PF15235,0.59,2.38,0.14,0.61,2.08,0.09
PF15236,1.00,,0.00,1.00,,0.00
PF15237,0.57,1.91,0.11,0.57,1.95,0.11
PF15238,0.81,3.38,0.00,0.56,1.42,0.33
PF15240,0.51,3.56,0.33,0.51,3.51,0.35
PF15241,0.69,2.01,0.02,0.70,2.03,0.01
PF15242,0.57,1.15,0.03,0.57,1.29,0.05
PF15243,1.00,,0.00,1.00,,0.00
PF15244,1.00,,0.00,1.00,,0.00
PF15245,1.00,,0.00,1.00,,0.00
PF15246,0.65,1.01,0.05,0.65,0.98,0.04
PF15247,1.00,,0.00,1.00,,0.00
PF15248,0.66,2.21,0.12,0.67,2.02,0.09
PF15249,0.81,3.27,0.02,0.81,3.28,0.01
PF15250,0.65,1.43,0.03,0.65,1.42,0.03
PF15252,0.62,0.8,0.08,0.63,0.79,0.06
PF15253,1.00,,0.00,1.00,,0.00
PF15254,1.00,,0.00,1.00,,0.00
PF15255,0.76,2.9,0.10,0.72,2.5,0.11
PF15256,0.61,0.91,0.06,0.61,0.93,0.06
PF15257,1.00,,0.00,1.00,,0.00
PF15258,0.39,2.18,0.53,0.57,3.28,0.39
PF15259,0.58,0.93,0.22,0.58,0.85,0.20
PF15260,0.78,2.98,0.01,0.78,2.98,0.01
PF15261,1.00,,0.00,1.00,,0.00
PF15262,0.50,1.1,0.16,0.49,1.07,0.18
PF15264,1.00,,0.00,1.00,,0.00
PF15265,0.61,0.71,0.05,0.61,0.71,0.06
PF15266,0.60,0.77,0.08,0.60,0.74,0.07
PF15268,0.34,1.14,0.50,0.34,1.16,0.49
PF15269,0.89,4.98,0.02,0.87,4.67,0.02
PF15273,0.28,1.04,0.55,0.36,1.24,0.43
PF15274,1.00,,0.00,1.00,,0.00
PF15275,0.53,1.04,0.08,0.51,0.92,0.10
PF15276,0.68,2.33,0.11,0.68,2.08,0.08
PF15277,0.60,1.67,0.05,0.59,1.52,0.04
PF15279,0.59,1.35,0.25,0.58,1.26,0.28
PF15280,1.00,,0.00,1.00,,0.00
PF15281,1.00,,0.00,1.00,,0.00
PF15282,0.70,2.37,0.07,0.70,2.37,0.07
PF15285,1.00,,0.00,1.00,,0.00
PF15288,0.90,4.49,0.00,0.90,4.49,0.00
PF15289,1.00,,0.00,1.00,,0.00
PF15290,0.74,2.48,0.02,0.74,2.51,0.03
PF15291,1.00,,0.00,1.00,,0.00
PF15292,1.00,,0.00,1.00,,0.00
PF15293,1.00,,0.00,1.00,,0.00
PF15294,1.00,,0.00,1.00,,0.00
PF15295,1.00,,0.00,1.00,,0.00
PF15296,1.00,,0.00,1.00,,0.00
PF15297,0.42,1.79,0.44,0.42,1.63,0.42
PF15298,0.56,1.96,0.37,0.56,1.84,0.36
PF15299,1.00,,0.00,1.00,,0.00
PF15300,0.82,3.65,0.01,0.83,3.64,0.00
PF15301,0.66,1.97,0.14,0.46,2.06,0.39
PF15302,1.00,,0.00,1.00,,0.00
PF15303,1.00,,0.00,1.00,,0.00
PF15304,0.38,0.94,0.50,0.38,0.94,0.50
PF15305,1.00,,0.00,1.00,,0.00
PF15306,1.00,,0.00,1.00,,0.00
PF15307,1.00,,0.00,1.00,,0.00
PF15308,0.54,2.26,0.25,0.54,2.22,0.25
PF15309,0.56,1.4,0.07,0.56,1.32,0.06
PF15310,1.00,,0.00,1.00,,0.00
PF15311,1.00,,0.00,1.00,,0.00
PF15312,1.00,,0.00,1.00,,0.00
PF15313,0.77,3.27,0.07,0.77,3.27,0.07
PF15314,1.00,,0.00,1.00,,0.00
PF15315,0.97,4.98,0.00,0.97,4.98,0.00
PF15316,0.59,1.81,0.07,0.58,1.78,0.06
PF15317,0.48,1.93,0.31,0.48,1.92,0.30
PF15318,1.00,,0.00,1.00,,0.00
PF15319,1.00,,0.00,1.00,,0.00
PF15320,1.00,,0.00,1.00,,0.00
PF15321,0.67,1.93,0.08,0.65,1.85,0.12
PF15322,1.00,,0.00,1.00,,0.00
PF15323,1.00,,0.00,1.00,,0.00
PF15324,1.00,,0.00,1.00,,0.00
PF15325,1.00,,0.00,1.00,,0.00
PF15326,0.58,1.32,0.25,0.59,1.12,0.16
PF15327,0.66,1.49,0.04,0.66,1.47,0.04
PF15328,1.00,,0.00,1.00,,0.00
PF15330,0.52,0.79,0.09,0.52,0.78,0.08
PF15331,1.00,,0.00,1.00,,0.00
PF15332,1.00,,0.00,1.00,,0.00
PF15333,1.00,,0.00,1.00,,0.00
PF15334,1.00,,0.00,1.00,,0.00
PF15335,1.00,,0.00,1.00,,0.00
PF15336,0.64,2.59,0.07,0.65,2.73,0.07
PF15337,0.81,3.34,0.02,0.81,3.32,0.02
PF15338,1.00,,0.00,1.00,,0.00
PF15339,1.00,,0.00,1.00,,0.00
PF15340,1.00,,0.00,1.00,,0.00
PF15342,0.73,2.96,0.08,0.75,3.04,0.06
PF15343,1.00,,0.00,1.00,,0.00
PF15344,0.61,0.83,0.10,0.61,0.83,0.10
PF15345,1.00,,0.00,1.00,,0.00
PF15346,1.00,,0.00,1.00,,0.00
PF15347,1.00,,0.00,1.00,,0.00
PF15348,1.00,,0.00,1.00,,0.00
PF15349,1.00,,0.00,1.00,,0.00
PF15350,1.00,,0.00,0.52,5.03,0.48
PF15351,1.00,,0.00,1.00,,0.00
PF15352,1.00,,0.00,1.00,,0.00
PF15353,1.00,,0.00,1.00,,0.00
PF15354,1.00,,0.00,1.00,,0.00
PF15355,1.00,,0.00,1.00,,0.00
PF15356,1.00,,0.00,1.00,,0.00
PF15357,1.00,,0.00,1.00,,0.00
PF15358,1.00,,0.00,1.00,,0.00
PF15359,1.00,,0.00,1.00,,0.00
PF15360,1.00,,0.00,1.00,,0.00
PF15361,1.00,,0.00,1.00,,0.00
PF15362,1.00,,0.00,1.00,,0.00
PF15363,1.00,,0.00,1.00,,0.00
PF15364,1.00,,0.00,1.00,,0.00
PF15365,0.97,5.32,0.00,0.97,5.32,0.00
PF15366,1.00,,0.00,1.00,,0.00
PF15367,1.00,,0.00,1.00,,0.00
PF15368,1.00,,0.00,1.00,,0.00
PF15369,1.00,,0.00,1.00,,0.00
PF15370,1.00,,0.00,1.00,,0.00
PF15371,0.73,2.86,0.03,0.75,2.85,0.01
PF15372,1.00,,0.00,1.00,,0.00
PF15374,0.56,2.27,0.38,0.38,2.02,0.56
PF15376,1.00,,0.00,1.00,,0.00
PF15377,1.00,,0.00,1.00,,0.00
PF15378,0.69,1.73,0.00,0.69,1.73,0.00
PF15379,1.00,,0.00,1.00,,0.00
PF15380,1.00,,0.00,1.00,,0.00
PF15382,1.00,,0.00,1.00,,0.00
PF15383,1.00,,0.00,1.00,,0.00
PF15384,1.00,,0.00,1.00,,0.00
PF15385,0.52,2.74,0.47,0.52,2.5,0.47
PF15386,0.89,4.07,0.00,0.89,4.07,0.00
PF15387,1.00,,0.00,1.00,,0.00
PF15388,0.70,2.53,0.03,0.70,2.58,0.02
PF15389,1.00,,0.00,1.00,,0.00
PF15390,1.00,,0.00,1.00,,0.00
PF15391,1.00,,0.00,1.00,,0.00
PF15392,1.00,,0.00,1.00,,0.00
PF15393,1.00,,0.00,1.00,,0.00
PF15394,1.00,,0.00,1.00,,0.00
PF15395,1.00,,0.00,1.00,,0.00
PF15396,1.00,,0.00,1.00,,0.00
PF15397,1.00,,0.00,1.00,,0.00
PF15399,1.00,,0.00,1.00,,0.00
PF15409,0.68,2.61,0.04,0.68,2.63,0.04
PF15410,0.56,1.91,0.08,0.55,1.9,0.08
PF15412,0.76,2.67,0.02,0.73,2.72,0.06
PF15419,1.00,,0.00,1.00,,0.00
PF15423,0.82,3.22,0.01,0.82,3.22,0.01
PF15424,1.00,,0.00,1.00,,0.00
PF15427,1.00,,0.00,1.00,,0.00
PF15429,1.00,,0.00,1.00,,0.00
PF15431,1.00,,0.00,1.00,,0.00
PF15433,1.00,,0.00,1.00,,0.00
PF15435,1.00,,0.00,1.00,,0.00
PF15439,0.60,1.87,0.10,0.60,1.88,0.10
PF15440,0.53,0.91,0.07,0.52,0.91,0.08
PF15441,0.99,5.19,0.00,0.99,5.19,0.00
PF15442,1.00,,0.00,1.00,,0.00
PF15443,1.00,,0.00,1.00,,0.00
PF15444,1.00,,0.00,0.53,4.5,0.47
PF15449,1.00,,0.00,1.00,,0.00
PF15450,1.00,,0.00,1.00,,0.00
PF15451,1.00,,0.00,1.00,,0.00
PF15452,0.59,0.85,0.18,0.59,0.8,0.19
PF15453,0.50,,0.50,0.50,,0.50
PF15454,1.00,,0.00,1.00,,0.00
PF15455,1.00,,0.00,1.00,,0.00
PF15462,1.00,,0.00,1.00,,0.00
PF15464,1.00,,0.00,1.00,,0.00
PF15465,1.00,,0.00,1.00,,0.00
PF15466,1.00,,0.00,1.00,,0.00
PF15467,1.00,,0.00,1.00,,0.00
PF15468,1.00,,0.00,1.00,,0.00
PF15469,1.00,,0.00,1.00,,0.00
PF15470,1.00,,0.00,1.00,,0.00
PF15471,1.00,,0.00,1.00,,0.00
PF15472,1.00,,0.00,1.00,,0.00
PF15473,1.00,,0.00,1.00,,0.00
PF15475,1.00,,0.00,1.00,,0.00
PF15476,1.00,,0.00,1.00,,0.00
PF15477,0.54,1.34,0.06,0.54,1.29,0.07
PF15478,1.00,,0.00,1.00,,0.00
PF15479,1.00,,0.00,1.00,,0.00
PF15480,1.00,,0.00,0.50,,0.50
PF15482,1.00,,0.00,1.00,,0.00
PF15483,1.00,,0.00,1.00,,0.00
PF15484,1.00,,0.00,1.00,,0.00
PF15485,1.00,,0.00,1.00,,0.00
PF15486,1.00,,0.00,1.00,,0.00
PF15487,0.94,4.7,0.01,0.93,4.59,0.01
PF15488,1.00,,0.00,1.00,,0.00
PF15489,1.00,,0.00,1.00,,0.00
PF15490,1.00,,0.00,1.00,,0.00
PF15492,1.00,,0.00,1.00,,0.00
PF15494,0.41,1.18,0.10,0.42,1.13,0.09
PF15497,1.00,,0.00,1.00,,0.00
PF15498,1.00,,0.00,1.00,,0.00
PF15499,1.00,,0.00,1.00,,0.00
PF15501,1.00,,0.00,1.00,,0.00
PF15502,1.00,,0.00,1.00,,0.00
PF15503,1.00,,0.00,1.00,,0.00
PF15504,1.00,,0.00,1.00,,0.00
PF15505,1.00,,0.00,1.00,,0.00
PF15506,1.00,,0.00,1.00,,0.00
PF15508,0.59,0.51,0.05,0.60,0.51,0.03
PF15509,1.00,,0.00,1.00,,0.00
PF15510,1.00,,0.00,1.00,,0.00
PF15511,0.56,1.5,0.30,0.57,0.53,0.19
PF15512,1.00,,0.00,1.00,,0.00
PF15519,0.69,2.35,0.12,0.68,2.06,0.10
PF15539,1.00,,0.00,1.00,,0.00
PF15546,1.00,,0.00,1.00,,0.00
PF15547,1.00,,0.00,1.00,,0.00
PF15549,0.62,1.12,0.11,0.62,1.05,0.09
PF15550,1.00,,0.00,1.00,,0.00
PF15551,1.00,,0.00,1.00,,0.00
PF15552,1.00,,0.00,1.00,,0.00
PF15553,1.00,,0.00,1.00,,0.00
PF15554,1.00,,0.00,1.00,,0.00
PF15555,1.00,,0.00,1.00,,0.00
PF15556,1.00,,0.00,1.00,,0.00
PF15557,1.00,,0.00,1.00,,0.00
PF15558,0.62,0.92,0.01,0.62,0.92,0.01
PF15559,1.00,,0.00,1.00,,0.00
PF15576,1.00,,0.00,1.00,,0.00
PF15578,1.00,,0.00,1.00,,0.00
PF15612,0.45,0.64,0.10,0.46,0.62,0.04
PF15613,0.50,1.78,0.16,0.39,1.23,0.28
PF15619,0.72,2.18,0.01,0.72,2.17,0.00
PF15620,1.00,,0.00,1.00,,0.00
PF15621,0.71,3.41,0.11,0.72,3.37,0.10
PF15622,1.00,,0.00,1.00,,0.00
PF15623,0.94,4.4,0.00,0.93,4.35,0.01
PF15625,0.71,2.25,0.02,0.71,2.24,0.02
PF15627,1.00,,0.00,1.00,,0.00
PF15630,1.00,,0.00,1.00,,0.00
PF15632,1.00,,0.00,1.00,,0.00
PF15636,0.85,4.05,0.00,0.84,4.04,0.01
PF15661,1.00,,0.00,1.00,,0.00
PF15662,1.00,,0.00,1.00,,0.00
PF15663,0.54,2.86,0.22,0.53,2.72,0.22
PF15664,1.00,,0.00,1.00,,0.00
PF15665,0.63,1.61,0.09,0.64,1.59,0.08
PF15666,0.69,1.75,0.02,0.69,1.8,0.01
PF15668,1.00,,0.00,1.00,,0.00
PF15669,1.00,,0.00,1.00,,0.00
PF15670,0.56,1.71,0.34,0.56,1.57,0.33
PF15671,1.00,,0.00,1.00,,0.00
PF15672,1.00,,0.00,1.00,,0.00
PF15673,1.00,,0.00,1.00,,0.00
PF15674,1.00,,0.00,1.00,,0.00
PF15675,1.00,,0.00,1.00,,0.00
PF15676,1.00,,0.00,1.00,,0.00
PF15677,1.00,,0.00,1.00,,0.00
PF15678,1.00,,0.00,1.00,,0.00
PF15679,1.00,,0.00,1.00,,0.00
PF15680,1.00,,0.00,1.00,,0.00
PF15681,1.00,,0.00,1.00,,0.00
PF15682,1.00,,0.00,1.00,,0.00
PF15683,1.00,,0.00,1.00,,0.00
PF15684,1.00,,0.00,1.00,,0.00
PF15685,1.00,,0.00,1.00,,0.00
PF15686,1.00,,0.00,1.00,,0.00
PF15687,1.00,,0.00,1.00,,0.00
PF15688,1.00,,0.00,1.00,,0.00
PF15689,1.00,,0.00,1.00,,0.00
PF15690,1.00,,0.00,1.00,,0.00
PF15692,0.59,1.93,0.14,0.62,2.05,0.10
PF15693,1.00,,0.00,1.00,,0.00
PF15694,1.00,,0.00,1.00,,0.00
PF15695,0.90,4.26,0.00,0.90,4.25,0.00
PF15696,0.71,1.72,0.00,0.71,1.72,0.00
PF15702,1.00,,0.00,1.00,,0.00
PF15703,0.50,-0.25,0.49,0.50,-0.44,0.47
PF15705,0.66,2.51,0.02,0.65,2.46,0.02
PF15706,0.66,3.11,0.10,0.66,2.99,0.07
PF15707,1.00,,0.00,1.00,,0.00
PF15708,0.91,4.62,0.02,0.92,4.61,0.01
PF15709,1.00,,0.00,1.00,,0.00
PF15710,1.00,,0.00,1.00,,0.00
PF15711,0.49,1.43,0.03,0.49,1.42,0.02
PF15712,1.00,,0.00,1.00,,0.00
PF15713,1.00,,0.00,1.00,,0.00
PF15715,1.00,,0.00,1.00,,0.00
PF15717,1.00,,0.00,1.00,,0.00
PF15718,1.00,,0.00,1.00,,0.00
PF15721,1.00,,0.00,1.00,,0.00
PF15722,0.41,4.13,0.55,0.41,3.54,0.51
PF15724,1.00,,0.00,1.00,,0.00
PF15725,1.00,,0.00,1.00,,0.00
PF15726,1.00,,0.00,1.00,,0.00
PF15727,1.00,,0.00,1.00,,0.00
PF15728,1.00,,0.00,1.00,,0.00
PF15730,1.00,,0.00,1.00,,0.00
PF15732,1.00,,0.00,1.00,,0.00
PF15733,0.59,0.65,0.02,0.58,0.63,0.05
PF15734,1.00,,0.00,1.00,,0.00
PF15735,0.43,0.98,0.33,0.44,0.95,0.32
PF15736,1.00,,0.00,1.00,,0.00
PF15737,0.61,0.84,0.04,0.60,0.81,0.07
PF15739,0.51,0.68,0.03,0.51,0.69,0.02
PF15740,1.00,,0.00,1.00,,0.00
PF15741,1.00,,0.00,1.00,,0.00
PF15742,1.00,,0.00,1.00,,0.00
PF15743,1.00,,0.00,1.00,,0.00
PF15744,1.00,,0.00,1.00,,0.00
PF15745,1.00,,0.00,1.00,,0.00
PF15746,1.00,,0.00,1.00,,0.00
PF15747,1.00,,0.00,1.00,,0.00
PF15748,1.00,,0.00,1.00,,0.00
PF15749,1.00,,0.00,1.00,,0.00
PF15750,1.00,,0.00,1.00,,0.00
PF15751,1.00,,0.00,1.00,,0.00
PF15752,1.00,,0.00,1.00,,0.00
PF15753,1.00,,0.00,1.00,,0.00
PF15754,1.00,,0.00,1.00,,0.00
PF15755,1.00,,0.00,1.00,,0.00
PF15756,1.00,,0.00,1.00,,0.00
PF15757,1.00,,0.00,1.00,,0.00
PF15758,1.00,,0.00,1.00,,0.00
PF15759,1.00,,0.00,1.00,,0.00
PF15760,1.00,,0.00,1.00,,0.00
PF15761,1.00,,0.00,1.00,,0.00
PF15762,1.00,,0.00,1.00,,0.00
PF15763,1.00,,0.00,1.00,,0.00
PF15764,1.00,,0.00,1.00,,0.00
PF15765,1.00,,0.00,1.00,,0.00
PF15766,1.00,,0.00,1.00,,0.00
PF15767,1.00,,0.00,1.00,,0.00
PF15768,1.00,,0.00,1.00,,0.00
PF15769,1.00,,0.00,1.00,,0.00
PF15771,1.00,,0.00,1.00,,0.00
PF15772,1.00,,0.00,1.00,,0.00
PF15773,1.00,,0.00,1.00,,0.00
PF15774,1.00,,0.00,1.00,,0.00
PF15776,1.00,,0.00,1.00,,0.00
PF15778,1.00,,0.00,1.00,,0.00
PF15779,0.49,2.32,0.22,0.48,2.14,0.22
PF15780,1.00,,0.00,1.00,,0.00
PF15782,0.87,4.28,0.00,0.74,2.39,0.02
PF15783,0.35,1.05,0.44,0.31,0.87,0.47
PF15784,0.76,3.5,0.13,0.76,3.41,0.12
PF15785,1.00,,0.00,1.00,,0.00
PF15786,1.00,,0.00,1.00,,0.00
PF15787,0.44,2.0,0.35,0.44,1.95,0.35
PF15788,0.48,1.25,0.24,0.47,1.39,0.26
PF15789,1.00,,0.00,1.00,,0.00
PF15790,0.91,4.3,0.01,0.91,4.3,0.01
PF15791,0.80,2.88,0.00,0.80,2.88,0.00
PF15792,1.00,,0.00,1.00,,0.00
PF15793,1.00,,0.00,1.00,,0.00
PF15794,1.00,,0.00,1.00,,0.00
PF15795,1.00,,0.00,1.00,,0.00
PF15796,0.75,3.33,0.08,0.75,3.27,0.07
PF15797,1.00,,0.00,1.00,,0.00
PF15798,1.00,,0.00,1.00,,0.00
PF15799,1.00,,0.00,1.00,,0.00
PF15800,1.00,,0.00,1.00,,0.00
PF15801,1.00,,0.00,1.00,,0.00
PF15802,1.00,,0.00,1.00,,0.00
PF15803,1.00,,0.00,1.00,,0.00
PF15805,1.00,,0.00,1.00,,0.00
PF15806,1.00,,0.00,1.00,,0.00
PF15807,0.62,0.95,0.03,0.62,0.95,0.03
PF15808,0.70,3.29,0.19,0.70,3.36,0.19
PF15809,1.00,,0.00,1.00,,0.00
PF15810,1.00,,0.00,1.00,,0.00
PF15811,1.00,,0.00,1.00,,0.00
PF15812,1.00,,0.00,1.00,,0.00
PF15813,1.00,,0.00,1.00,,0.00
PF15814,1.00,,0.00,1.00,,0.00
PF15815,0.55,2.41,0.26,0.54,2.4,0.26
PF15816,1.00,,0.00,1.00,,0.00
PF15817,1.00,,0.00,1.00,,0.00
PF15818,1.00,,0.00,1.00,,0.00
PF15819,1.00,,0.00,1.00,,0.00
PF15820,1.00,,0.00,1.00,,0.00
PF15821,1.00,,0.00,1.00,,0.00
PF15822,1.00,,0.00,1.00,,0.00
PF15823,1.00,,0.00,1.00,,0.00
PF15824,1.00,,0.00,1.00,,0.00
PF15825,1.00,4.86,0.00,1.00,4.86,0.00
PF15826,1.00,,0.00,1.00,,0.00
PF15829,1.00,,0.00,1.00,,0.00
PF15830,1.00,,0.00,1.00,,0.00
PF15831,0.57,1.1,0.02,0.57,1.1,0.02
PF15832,0.89,4.27,0.00,0.88,4.18,0.01
PF15833,1.00,,0.00,1.00,,0.00
PF15834,1.00,,0.00,1.00,,0.00
PF15835,1.00,,0.00,1.00,,0.00
PF15836,1.00,,0.00,1.00,,0.00
PF15838,1.00,,0.00,1.00,,0.00
PF15839,1.00,,0.00,1.00,,0.00
PF15841,1.00,,0.00,1.00,,0.00
PF15842,1.00,,0.00,1.00,,0.00
PF15843,1.00,,0.00,1.00,,0.00
PF15844,1.00,,0.00,1.00,,0.00
PF15845,1.00,,0.00,1.00,,0.00
PF15846,1.00,,0.00,1.00,,0.00
PF15847,1.00,,0.00,1.00,,0.00
PF15848,1.00,,0.00,1.00,,0.00
PF15849,1.00,,0.00,1.00,,0.00
PF15851,1.00,,0.00,0.62,3.3,0.32
PF15852,1.00,,0.00,1.00,,0.00
PF15854,1.00,,0.00,1.00,,0.00
PF15855,1.00,,0.00,1.00,,0.00
PF15858,1.00,,0.00,1.00,,0.00
PF15859,1.00,,0.00,1.00,,0.00
PF15862,1.00,,0.00,1.00,,0.00
PF15865,1.00,,0.00,1.00,,0.00
PF15870,0.52,3.98,0.43,0.52,3.92,0.42
PF15871,0.62,2.92,0.20,0.58,2.68,0.23
PF15872,0.65,2.24,0.20,0.66,2.38,0.18
PF15873,1.00,,0.00,1.00,,0.00
PF15874,0.64,0.99,0.01,0.64,1.01,0.01
PF15875,1.00,,0.00,1.00,,0.00
PF15876,1.00,,0.00,1.00,,0.00
PF15877,1.00,,0.00,1.00,,0.00
PF15879,1.00,,0.00,1.00,,0.00
PF15880,1.00,,0.00,1.00,,0.00
PF15882,1.00,,0.00,1.00,,0.00
PF15884,1.00,,0.00,1.00,,0.00
PF15895,1.00,,0.00,1.00,,0.00
PF15897,1.00,,0.00,1.00,,0.00
PF15898,0.79,3.25,0.01,0.79,3.24,0.01
PF15901,0.55,2.05,0.06,0.55,2.07,0.06
PF15902,0.57,1.84,0.03,0.57,1.84,0.03
PF15903,0.72,2.77,0.01,0.72,2.76,0.01
PF15904,1.00,,0.00,1.00,,0.00
PF15905,1.00,,0.00,1.00,,0.00
PF15906,1.00,,0.00,1.00,,0.00
PF15907,1.00,,0.00,1.00,,0.00
PF15908,0.59,1.45,0.20,0.60,1.5,0.17
PF15909,1.00,,0.00,1.00,,0.00
PF15910,0.62,1.44,0.09,0.62,1.23,0.07
PF15911,1.00,,0.00,1.00,,0.00
PF15912,1.00,,0.00,1.00,,0.00
PF15913,0.70,3.5,0.01,0.70,3.48,0.01
PF15914,0.86,4.58,0.04,0.86,4.42,0.04
PF15917,0.76,2.9,0.02,0.74,2.81,0.03
PF15920,0.46,2.23,0.39,0.78,3.27,0.01
PF15921,1.00,,0.00,1.00,,0.00
PF15923,1.00,,0.00,1.00,,0.00
PF15924,1.00,,0.00,1.00,,0.00
PF15925,1.00,,0.00,1.00,,0.00
PF15926,1.00,,0.00,0.50,,0.50
PF15927,1.00,,0.00,1.00,,0.00
PF15936,0.45,1.38,0.22,0.45,1.26,0.20
PF15938,1.00,,0.00,1.00,,0.00
PF15949,0.50,1.72,0.28,0.50,1.54,0.27
PF15951,0.70,2.63,0.05,0.70,2.56,0.05
PF15961,1.00,,0.00,1.00,,0.00
PF15963,1.00,,0.00,1.00,,0.00
PF15964,1.00,,0.00,1.00,,0.00
PF15965,0.81,3.95,0.01,0.81,3.95,0.01
PF15966,1.00,,0.00,1.00,,0.00
PF15967,1.00,,0.00,1.00,,0.00
PF15974,0.68,3.21,0.05,0.68,3.21,0.05
PF15982,1.00,,0.00,1.00,,0.00
PF15985,0.60,1.12,0.06,0.59,1.26,0.10
PF15990,1.00,,0.00,1.00,,0.00
PF15991,1.00,,0.00,1.00,,0.00
PF15996,1.00,,0.00,1.00,,0.00
PF15997,1.00,,0.00,1.00,,0.00
PF16000,0.52,0.88,0.06,0.52,0.88,0.06
PF16002,1.00,,0.00,1.00,,0.00
PF16004,1.00,,0.00,1.00,,0.00
PF16005,0.53,1.39,0.02,0.53,1.38,0.03
PF16006,1.00,,0.00,1.00,,0.00
PF16014,1.00,,0.00,1.00,,0.00
PF16015,1.00,,0.00,1.00,,0.00
PF16016,0.70,2.86,0.02,0.70,2.98,0.03
PF16017,0.88,4.38,0.00,0.88,4.38,0.00
PF16018,0.56,0.35,0.09,0.56,0.33,0.08
